time, instructions, freed, alive, gc_latency (us)
2180271, 1257304, 1262068, 3938770, 2236200
2190271, 1271195, 1275999, 3938771, 2251926
2200271, 1280322, 1298689, 3938771, 2288236
2210271, 1262919, 1267707, 3938770, 2206817
2220271, 1290591, 1295467, 3938771, 2263903
2230271, 1282312, 1300689, 3938771, 2277271
2240271, 1251513, 1256257, 3938770, 2246257
2250271, 1257531, 1262289, 3938771, 2235672
2260271, 1290090, 1308490, 3938771, 2296208
2270271, 1255501, 1260262, 3938770, 2241276
2280271, 1281785, 1286633, 3938771, 2243247
2290271, 1293164, 1311573, 3938771, 2286392
2300271, 1252346, 1257096, 3938771, 2248553
2310271, 1260868, 1265636, 3938771, 2234654
2320271, 1289472, 1307871, 3938771, 2284163
2330271, 1255501, 1260262, 3938770, 2234915
2340271, 1280105, 1284944, 3938771, 2252665
2350271, 1293441, 1311854, 3938770, 2284237
2360271, 1273859, 1278686, 3938771, 2229625
2370271, 1282118, 1286969, 3938771, 2214636
2380271, 1292786, 1311195, 3938772, 2280223
2390271, 1248355, 1253090, 3938771, 2218903
2400271, 1276041, 1280865, 3938772, 2227278
2410271, 1292274, 1377761, 3885751, 2309128
2420271, 1252671, 1252673, 3890499, 2193327
2430271, 1279335, 1279337, 3895334, 2227219
2440271, 1302678, 1291690, 3938770, 2301351
2450271, 1267865, 1272672, 3938771, 2270445
2460271, 1281533, 1286383, 3938770, 2296074
2470271, 1277246, 1295594, 3938770, 2278696
2480271, 1256824, 1261589, 3938770, 2231742
2490271, 1263431, 1268208, 3938771, 2238153
2500271, 1289039, 1307437, 3938770, 2308568
2510271, 1255760, 1260521, 3938770, 2230434
2520271, 1285446, 1290308, 3938770, 2243054
2530271, 1294232, 1312646, 3938770, 2288492
2540271, 1257767, 1262537, 3938771, 2254780
2550271, 1255687, 1260438, 3938770, 2284807
2560271, 1291797, 1310203, 3938771, 2288944
2570271, 1280283, 1285134, 3938770, 2174967
2580271, 1305194, 1310131, 3938770, 2303978
2590271, 1285330, 1303713, 3938770, 2274929
2600271, 1265945, 1270742, 3938771, 2240528
2610271, 1269654, 1274457, 3938771, 2233470
2620271, 1302636, 1321083, 3938771, 2296171
2630271, 1259592, 1264367, 3938771, 2284230
2640271, 1272858, 1277672, 3938771, 2272385
2650271, 1292409, 1310820, 3938770, 2275615
2660271, 1264431, 1269224, 3938771, 2250896
2670271, 1266307, 1271096, 3938770, 2229315
2680271, 1303181, 1321630, 3938771, 2309573
2690271, 1264588, 1269382, 3938771, 2241707
2700271, 1292437, 1297329, 3938770, 2235281
2710271, 1308706, 1327172, 3938770, 2292463
2720271, 1268508, 1273317, 3938770, 2225719
2730271, 1278966, 1283804, 3938770, 2245220
2740271, 1301896, 1320339, 3938770, 2306260
2750271, 1265106, 1269901, 3938770, 2218581
2760271, 1295929, 1300826, 3938771, 2254599
2770271, 1293910, 1312329, 3938771, 2279294
2780271, 1267156, 1271958, 3938771, 2219876
2790271, 1277641, 1282472, 3938770, 2228336
2800271, 1297614, 1316048, 3938770, 2296533
2810271, 1258698, 1263468, 3938770, 2246297
2820271, 1277095, 1281920, 3938771, 2252556
2830271, 1293834, 1312254, 3938771, 2294781
2840271, 1267897, 1272704, 3938770, 2241253
2850271, 1263541, 1268314, 3938771, 2279196
2860271, 1286184, 1304574, 3938771, 2298467
2870271, 1273277, 1278103, 3938770, 2213477
2880271, 1293276, 1298167, 3938770, 2243459
2890271, 1295614, 1314036, 3938770, 2319001
2900271, 1247799, 1252530, 3938771, 2298800
2910271, 1248158, 1252877, 3938771, 2237846
2920271, 1287943, 1306338, 3938770, 2346568
2930271, 1260549, 1265326, 3938771, 2216186
2940271, 1291348, 1296231, 3938771, 2227531
2950271, 1289208, 1307605, 3938771, 2362302
2960271, 1251927, 1256676, 3938770, 2230222
2970271, 1257994, 1262755, 3938770, 2282443
2980271, 1277381, 1295729, 3938771, 2397183
2990271, 1246698, 1251426, 3938771, 2286955
3000271, 1276008, 1280834, 3938771, 2239973
3010271, 1300129, 1318568, 3938770, 2355840
3020271, 1262418, 1267203, 3938770, 2232245
3030271, 1264546, 1269330, 3938770, 2280107
3040271, 1285666, 1304048, 3938770, 2362155
3050271, 1261672, 1266456, 3938770, 2229144
3060271, 1290364, 1295244, 3938770, 2251702
3070271, 1291953, 1310358, 3938771, 2374508
3080271, 1258941, 1263718, 3938770, 2226021
3090271, 1268951, 1273748, 3938771, 2279964
3100271, 1287015, 1305404, 3938770, 2349095
3110271, 1270703, 1275521, 3938771, 2231093
3120271, 1294327, 1299221, 3938770, 2230757
3130271, 1290988, 1309393, 3938770, 2408336
3140271, 1251087, 1255829, 3938771, 2222003
3150271, 1275415, 1280238, 3938770, 2243770
3160271, 1269469, 1287792, 3938772, 2399738
3170271, 1228230, 1232881, 3938772, 2221853
3180271, 1270389, 1275196, 3938771, 2243831
3190271, 1294809, 1380573, 3885490, 2357528
3200271, 1268456, 1268459, 3890290, 2232988
3210271, 1283013, 1283014, 3895142, 2211426
3220271, 1318600, 1307480, 3938771, 2325924
3230271, 1284433, 1289303, 3938770, 2237923
3240271, 1300616, 1305536, 3938770, 2239697
3250271, 1308125, 1326590, 3938771, 2350433
3260271, 1277012, 1281850, 3938771, 2235771
3270271, 1281697, 1286546, 3938770, 2234122
3280271, 1304029, 1322483, 3938771, 2344398
3290271, 1268146, 1272951, 3938771, 2226471
3300271, 1289669, 1294546, 3938770, 2243867
3310271, 1299225, 1317660, 3938771, 2346632
3320271, 1258189, 1262963, 3938770, 2281073
3330271, 1255956, 1260701, 3938770, 2247542
3340271, 1293531, 1311948, 3938771, 2344926
3350271, 1262427, 1267210, 3938770, 2243880
3360271, 1280648, 1285489, 3938770, 2250612
3370271, 1293611, 1312028, 3938771, 2363253
3380271, 1258044, 1262812, 3938771, 2244419
3390271, 1268826, 1273625, 3938771, 2231633
3400271, 1292657, 1311070, 3938770, 2354099
3410271, 1260971, 1265749, 3938771, 2214887
3420271, 1286227, 1291090, 3938770, 2266168
3430271, 1288091, 1306487, 3938771, 2397542
3440271, 1256919, 1261684, 3938770, 2224141
3450271, 1281151, 1285994, 3938771, 2261407
3460271, 1290933, 1309340, 3938770, 2343822
3470271, 1266072, 1270870, 3938770, 2245800
3480271, 1282323, 1287170, 3938771, 2238935
3490271, 1300408, 1318851, 3938771, 2351733
3500271, 1270782, 1275599, 3938771, 2228520
3510271, 1279550, 1284386, 3938771, 2255350
3520271, 1303160, 1321612, 3938771, 2341146
3530271, 1274295, 1279127, 3938770, 2226759
3540271, 1299835, 1304753, 3938771, 2235018
3550271, 1290805, 1309205, 3938770, 2346815
3560271, 1258853, 1263625, 3938771, 2235911
3570271, 1265975, 1270766, 3938770, 2241328
3580271, 1289063, 1307456, 3938771, 2410856
3590271, 1246853, 1251582, 3938770, 2220399
3600271, 1293416, 1298309, 3938770, 2262714
3610271, 1278137, 1296490, 3938771, 2394819
3620271, 1254660, 1259417, 3938771, 2225713
3630271, 1276389, 1281215, 3938770, 2247425
3640271, 1288419, 1306816, 3938771, 2387604
3650271, 1252400, 1257144, 3938771, 2229698
3660271, 1289042, 1293916, 3938771, 2253755
3670271, 1291621, 1310032, 3938770, 2353927
3680271, 1257898, 1262666, 3938770, 2245630
3690271, 1268165, 1272956, 3938771, 2224037
3700271, 1300309, 1318755, 3938770, 2344254
3710271, 1267751, 1272554, 3938771, 2226066
3720271, 1283774, 1288628, 3938771, 2292233
3730271, 1287404, 1305797, 3938771, 2343577
3740271, 1262669, 1267456, 3938770, 2256072
3750271, 1269487, 1274282, 3938771, 2232995
3760271, 1290063, 1308469, 3938770, 2364340
3770271, 1253068, 1257816, 3938770, 2222581
