time, instructions, freed, alive, gc_latency (us)
27700, 19191, 28023, 28, 9289
27800, 19134, 27942, 27, 9261
27900, 19199, 28033, 28, 9281
28000, 19185, 28015, 27, 9287
28100, 19159, 27976, 29, 9277
28200, 19274, 28144, 28, 9322
28300, 19259, 28123, 28, 9331
28400, 19246, 28103, 28, 9309
28500, 19297, 28179, 28, 9321
28600, 19269, 28136, 29, 9319
28700, 19162, 27981, 28, 9278
28800, 19290, 28171, 26, 9321
28900, 19299, 28179, 27, 9329
29000, 19223, 28072, 26, 9306
29100, 19209, 28047, 28, 9289
29200, 19216, 28059, 28, 9291
29300, 19175, 28001, 27, 9296
29400, 19152, 27967, 28, 9725
29500, 19068, 27842, 28, 9248
29600, 19256, 28119, 28, 9307
29700, 19201, 28039, 25, 9292
29800, 19185, 28015, 26, 9290
29900, 19192, 28025, 26, 9294
30000, 19100, 27887, 28, 9278
30100, 19182, 28008, 28, 9289
30200, 19216, 28062, 27, 9297
30300, 19185, 28013, 28, 9308
30400, 19119, 27918, 27, 9256
30500, 19197, 28032, 28, 9286
30600, 19189, 28020, 28, 9296
30700, 19262, 28128, 27, 9323
30800, 19205, 28046, 26, 9292
30900, 19188, 28018, 27, 9292
31000, 19167, 27988, 25, 9291
31100, 19190, 28024, 25, 9307
31200, 19087, 27867, 28, 9260
31300, 19209, 28049, 28, 9288
31400, 19254, 28118, 26, 9309
31500, 19272, 28143, 24, 9326
31600, 19276, 28147, 26, 9329
31700, 19240, 28093, 27, 9320
31800, 19212, 28056, 24, 9295
31900, 19189, 28018, 27, 9286
32000, 19187, 28015, 28, 9285
32100, 19252, 28114, 27, 9316
32200, 19188, 28019, 26, 9300
32300, 19121, 27920, 27, 9272
32400, 19201, 28037, 29, 9296
32500, 19178, 28005, 28, 9295
32600, 19185, 28015, 27, 9281
32700, 19197, 28032, 27, 9295
32800, 19219, 28064, 28, 9303
32900, 19129, 27932, 28, 9283
33000, 19216, 28060, 27, 9290
33100, 19187, 28017, 28, 9288
33200, 19158, 27975, 29, 9277
33300, 19273, 28146, 26, 9325
33400, 19312, 28198, 27, 9342
33500, 19247, 28105, 27, 9324
33600, 19138, 27950, 24, 9269
33700, 19157, 27969, 27, 9274
33800, 19221, 28070, 26, 9308
33900, 19258, 28117, 29, 9314
34000, 19277, 28154, 25, 9340
34100, 19265, 28126, 29, 9336
34200, 19190, 28025, 25, 9390
34300, 19127, 27930, 26, 9268
34400, 19207, 28048, 24, 9298
34500, 19233, 28080, 28, 9298
34600, 19195, 28030, 27, 9298
34700, 19213, 28055, 27, 9290
34800, 19226, 28077, 26, 9297
34900, 19194, 28027, 26, 9293
35000, 19180, 28008, 25, 9284
35100, 19119, 27919, 24, 9259
35200, 19194, 28024, 27, 9301
35300, 19188, 28018, 28, 9289
35400, 19157, 27974, 28, 9273
35500, 19188, 28019, 28, 9292
35600, 19183, 28012, 27, 9296
35700, 19185, 28014, 28, 9283
35800, 19275, 28148, 27, 9320
35900, 19235, 28085, 28, 9314
36000, 19152, 27966, 29, 9494
36100, 19143, 27957, 26, 9264
36200, 19230, 28078, 26, 9337
36300, 19152, 27967, 27, 9284
36400, 19190, 28021, 27, 9297
36500, 19172, 27996, 27, 9286
36600, 19156, 27973, 25, 9276
36700, 19202, 28040, 26, 9300
36800, 19154, 27966, 28, 9290
