trial,hw_to_kernel,kernel_to_user,total
602, 370, 3705, 5871
603, 371, 3705, 5871
604, 370, 3705, 5871
605, 371, 3676, 5843
606, 371, 3705, 5871
607, 370, 3677, 5842
608, 370, 3705, 5871
609, 371, 3676, 5843
610, 371, 3705, 5871
611, 370, 3705, 5842
612, 342, 3705, 5843
613, 342, 3705, 5842
614, 370, 3705, 5871
615, 371, 3705, 5871
616, 370, 3705, 5871
617, 371, 3705, 5871
618, 370, 3705, 5871
619, 371, 3705, 5871
620, 370, 3705, 5842
621, 342, 3705, 5843
622, 371, 3705, 5871
623, 371, 3876, 6071
624, 371, 3705, 5871
625, 371, 3705, 5900
626, 371, 3676, 5871
627, 370, 3705, 5871
628, 371, 3676, 5843
629, 371, 3705, 5871
630, 342, 3705, 5843
631, 342, 3733, 5871
632, 371, 3705, 5900
633, 371, 3676, 5871
634, 370, 3677, 5842
635, 342, 3734, 5871
636, 370, 3677, 5842
637, 371, 3676, 5843
638, 342, 3705, 5842
639, 342, 3705, 5843
640, 371, 3705, 5871
641, 370, 3705, 5899
642, 370, 3677, 5842
643, 370, 3705, 5899
644, 370, 3705, 5871
645, 371, 3705, 5871
646, 370, 3705, 5871
647, 371, 3705, 5900
648, 371, 3676, 5871
649, 370, 3677, 5871
650, 371, 3705, 5871
651, 370, 3705, 5871
652, 371, 3705, 5871
653, 370, 3705, 5871
654, 371, 3676, 5871
655, 370, 3677, 5871
656, 371, 3705, 5871
657, 370, 3677, 5871
658, 371, 3676, 5871
659, 370, 3705, 5899
660, 370, 3677, 5842
661, 342, 3705, 5871
662, 370, 3705, 5871
663, 371, 3705, 5871
664, 342, 3705, 5843
665, 342, 3705, 5871
666, 371, 3676, 5843
667, 371, 3705, 5900
668, 371, 3676, 5871
669, 370, 3677, 5842
670, 370, 3705, 5871
671, 371, 3705, 5871
672, 370, 3705, 5871
673, 371, 3705, 5871
674, 370, 3705, 5871
675, 342, 3705, 5871
676, 371, 3676, 5871
677, 370, 3705, 5871
678, 370, 3677, 5842
679, 342, 3705, 5871
680, 370, 3705, 5871
681, 371, 3705, 5871
682, 370, 3677, 5871
683, 371, 3705, 5871
684, 370, 3677, 5871
685, 371, 3676, 5871
686, 370, 3677, 5871
687, 371, 3676, 5871
688, 370, 3677, 5842
689, 342, 3734, 5871
690, 370, 3677, 5871
691, 371, 3705, 5871
692, 342, 3705, 5871
693, 370, 3705, 5871
694, 371, 3705, 5871
695, 370, 3705, 5899
696, 370, 3677, 5842
697, 342, 3705, 5843
698, 342, 3705, 5871
699, 371, 3676, 5843
700, 342, 3705, 5842
701, 370, 3705, 5871
702, 342, 3705, 5842
703, 370, 3705, 5871
704, 371, 3705, 5900
705, 371, 3676, 5871
706, 370, 3677, 5871
707, 371, 3705, 5900
708, 371, 3676, 5843
709, 342, 3705, 5871
710, 371, 3705, 5871
711, 370, 3705, 5871
712, 371, 3705, 5871
713, 370, 3705, 5871
714, 342, 3705, 5842
715, 370, 3705, 5871
716, 371, 3705, 5871
717, 370, 3677, 5871
718, 371, 3676, 5843
719, 342, 3733, 5871
720, 371, 3705, 5871
721, 370, 3705, 5871
722, 371, 3705, 5900
723, 371, 3676, 5871
724, 370, 3705, 5871
725, 371, 3705, 5900
726, 371, 3676, 5871
727, 370, 3705, 5871
728, 371, 3705, 5871
729, 370, 3677, 5871
730, 371, 3676, 5843
731, 342, 3733, 5871
732, 371, 3676, 5843
733, 342, 3705, 5842
734, 342, 3705, 5871
735, 370, 3677, 5871
736, 371, 3676, 5871
737, 370, 3705, 5871
738, 342, 3705, 5842
739, 370, 3705, 5899
740, 370, 3705, 5871
741, 371, 3705, 5871
742, 370, 3705, 5871
743, 371, 3705, 5900
744, 371, 3676, 5843
745, 371, 3705, 5871
746, 370, 3705, 5871
747, 371, 3705, 5871
748, 370, 3677, 5871
749, 371, 3705, 5871
750, 370, 3677, 5871
751, 371, 3705, 5871
752, 370, 3705, 5899
753, 370, 3677, 5871
754, 456, 3705, 5957
755, 371, 3733, 5900
756, 371, 3705, 5871
757, 370, 3705, 5871
758, 342, 3705, 5842
759, 342, 3705, 5843
760, 342, 3705, 5842
761, 370, 3705, 5871
762, 342, 3676, 5842
763, 370, 3705, 5871
764, 371, 3705, 5871
765, 370, 3705, 5871
766, 371, 3705, 5871
767, 370, 3705, 5899
768, 370, 3677, 5871
769, 371, 3705, 5871
770, 370, 3705, 5899
771, 370, 3677, 5871
772, 371, 3676, 5871
773, 370, 3705, 5871
774, 371, 3676, 5871
775, 370, 3705, 5871
776, 371, 3705, 5871
777, 370, 3705, 5871
778, 371, 3676, 5843
779, 342, 3733, 5871
780, 371, 3676, 5871
781, 370, 3677, 5871
782, 371, 3705, 5871
783, 370, 3705, 5871
784, 342, 3705, 5842
785, 342, 3734, 5871
786, 370, 3705, 5871
787, 371, 3705, 5871
788, 342, 3705, 5871
789, 370, 3677, 5842
790, 342, 3705, 5843
791, 371, 3705, 5900
792, 371, 3676, 5843
793, 371, 3705, 5871
794, 371, 3847, 6071
795, 371, 3705, 5900
796, 371, 3733, 5928
797, 370, 3705, 5871
798, 399, 3677, 5900
799, 371, 3676, 5843
800, 370, 3705, 5871
801, 371, 3705, 5871
802, 370, 3705, 5871
803, 371, 3705, 5871
804, 342, 3705, 5843
805, 342, 3705, 5842
806, 370, 3705, 5899
807, 370, 3677, 5871
808, 371, 3676, 5843
809, 342, 3705, 5871
810, 371, 3705, 5871
811, 370, 3677, 5871
812, 371, 3705, 5871
813, 342, 3705, 5871
814, 370, 3705, 5871
815, 371, 3705, 5900
816, 371, 3705, 5871
817, 370, 3705, 5871
818, 371, 3705, 5871
819, 342, 3705, 5843
820, 371, 3705, 5871
821, 370, 3705, 5871
822, 371, 3705, 5871
823, 342, 3705, 5843
824, 371, 3705, 5871
825, 370, 3705, 5871
826, 371, 3705, 5900
827, 371, 3705, 5871
828, 370, 3705, 5871
829, 371, 3705, 5871
830, 370, 3734, 5899
831, 370, 3705, 5871
832, 371, 3705, 5871
833, 371, 3676, 5871
834, 370, 3705, 5871
835, 371, 3705, 5871
836, 370, 3705, 5871
837, 371, 3705, 5871
838, 370, 3705, 5871
839, 371, 3705, 5871
840, 370, 3705, 5871
841, 371, 3705, 5871
842, 370, 3705, 5899
843, 370, 3705, 5871
844, 371, 3705, 5871
845, 370, 3705, 5899
846, 370, 3705, 5871
847, 342, 3705, 5842
848, 342, 3734, 5871
849, 370, 3705, 5871
850, 371, 3705, 5871
851, 370, 3705, 5871
852, 371, 3705, 5871
853, 370, 3705, 5871
854, 371, 3705, 5871
855, 370, 3705, 5871
856, 371, 3705, 5871
857, 370, 3705, 5871
858, 342, 3733, 5871
859, 371, 3705, 5871
860, 370, 3705, 5899
861, 370, 3677, 5871
862, 371, 3705, 5871
863, 342, 3705, 5871
864, 370, 3705, 5871
865, 371, 3676, 5843
866, 342, 3733, 5871
867, 371, 3705, 5871
868, 370, 3677, 5871
869, 371, 3705, 5871
870, 370, 3705, 5871
871, 371, 3676, 5871
872, 370, 3705, 5871
873, 371, 3705, 5871
874, 342, 3705, 5871
875, 370, 3705, 5871
876, 342, 3705, 5871
877, 371, 3676, 5871
878, 370, 3705, 5899
879, 370, 3677, 5871
880, 371, 3676, 5871
881, 370, 3705, 5871
882, 371, 3705, 5871
883, 370, 3705, 5871
884, 371, 3705, 5871
885, 370, 3677, 5871
886, 371, 3676, 5871
887, 370, 3705, 5871
888, 371, 3705, 5871
889, 370, 3705, 5871
890, 371, 3733, 5900
891, 371, 3705, 5871
892, 370, 3705, 5871
893, 370, 3705, 5871
894, 371, 3705, 5871
895, 342, 3705, 5843
896, 371, 3705, 5900
897, 371, 3676, 5843
898, 342, 3705, 5871
899, 371, 3676, 5871
900, 370, 3677, 5871
901, 371, 3676, 5843
902, 371, 3705, 5900
903, 371, 3705, 5871
904, 370, 3705, 5871
905, 371, 3705, 5871
906, 371, 3705, 5871
907, 370, 3705, 5871
908, 371, 3705, 5900
909, 371, 3705, 5871
910, 370, 3705, 5871
911, 342, 3705, 5871
912, 371, 3676, 5871
913, 370, 3677, 5842
914, 370, 3705, 5899
915, 370, 3677, 5871
916, 371, 3676, 5843
917, 342, 3705, 5842
918, 342, 3734, 5871
919, 370, 3677, 5871
920, 371, 3705, 5871
921, 342, 3705, 5871
922, 370, 3705, 5871
923, 371, 3705, 5900
924, 371, 3705, 5871
925, 370, 3677, 5871
926, 371, 3705, 5871
927, 342, 3705, 5843
928, 342, 3705, 5842
929, 342, 3705, 5843
930, 342, 3705, 5871
931, 371, 3676, 5843
932, 371, 3705, 5871
933, 342, 3705, 5843
934, 342, 3705, 5871
935, 371, 3705, 5871
936, 370, 3705, 5871
937, 342, 3705, 5842
938, 342, 3734, 5871
939, 342, 3705, 5871
940, 370, 3677, 5871
941, 371, 3705, 5871
942, 370, 3705, 5871
943, 342, 3705, 5842
944, 370, 3705, 5871
945, 342, 3705, 5842
946, 370, 3705, 5871
947, 342, 3705, 5842
948, 342, 3705, 5871
949, 370, 3677, 5842
950, 342, 3734, 5871
951, 370, 3705, 5871
952, 342, 3705, 5871
953, 371, 3705, 5871
954, 370, 3705, 5899
955, 370, 3677, 5871
956, 371, 3705, 5871
957, 370, 3705, 5871
958, 371, 3705, 5871
959, 370, 3705, 5871
960, 342, 3705, 5842
961, 342, 3705, 5843
962, 371, 3705, 5900
963, 371, 3676, 5843
964, 342, 3705, 5842
965, 427, 3848, 6127
966, 370, 3733, 5899
967, 370, 3705, 5899
968, 370, 3677, 5871
969, 371, 3676, 5871
970, 370, 3677, 5842
971, 342, 3705, 5871
972, 370, 3677, 5842
973, 370, 3705, 5899
974, 370, 3677, 5842
975, 342, 3705, 5843
976, 342, 3705, 5842
977, 370, 3705, 5871
978, 371, 3705, 5871
979, 370, 3705, 5899
980, 370, 3677, 5871
981, 371, 3705, 5871
982, 370, 3705, 5871
983, 371, 3705, 5900
984, 371, 3705, 5871
985, 370, 3705, 5899
986, 370, 3677, 5842
987, 342, 3705, 5871
988, 370, 3677, 5842
989, 342, 3705, 5843
990, 342, 3705, 5842
991, 370, 3705, 5871
992, 371, 3705, 5871
993, 370, 3705, 5871
994, 371, 3705, 5871
995, 370, 3705, 5871
996, 342, 3705, 5842
997, 342, 3705, 5871
998, 370, 3705, 5871
999, 371, 3790, 5985
1000, 370, 3677, 5871
1001, 371, 3705, 5871
1002, 370, 3705, 5871
1003, 371, 3705, 5871
1004, 342, 3705, 5843
1005, 371, 3705, 5871
1006, 370, 3705, 5871
1007, 371, 3705, 5871
1008, 370, 3705, 5871
1009, 371, 3705, 5871
1010, 370, 3705, 5871
1011, 371, 3705, 5871
1012, 342, 3705, 5871
1013, 370, 3677, 5871
1014, 371, 3705, 5871
1015, 370, 3705, 5899
1016, 370, 3705, 5871
1017, 371, 3705, 5871
1018, 370, 3705, 5871
1019, 371, 3705, 5871
1020, 370, 3705, 5871
1021, 371, 3705, 5871
1022, 342, 3705, 5843
1023, 371, 3705, 5871
1024, 370, 3705, 5871
1025, 371, 3705, 5871
1026, 370, 3705, 5871
1027, 371, 3733, 5900
1028, 371, 3705, 5871
1029, 370, 3705, 5871
1030, 342, 3705, 5871
1031, 371, 3705, 5871
1032, 370, 3705, 5871
1033, 371, 3705, 5900
1034, 371, 3676, 5843
1035, 342, 3705, 5871
1036, 371, 3676, 5843
1037, 342, 3705, 5842
1038, 342, 3705, 5843
1039, 371, 3705, 5871
1040, 370, 3705, 5871
1041, 371, 3705, 5871
1042, 342, 3705, 5843
1043, 342, 3733, 5871
1044, 371, 3705, 5871
1045, 370, 3705, 5899
1046, 370, 3677, 5871
1047, 371, 3705, 5871
1048, 342, 3705, 5843
1049, 342, 3705, 5871
1050, 371, 3676, 5843
1051, 371, 3705, 5900
1052, 371, 3676, 5843
1053, 342, 3705, 5842
1054, 342, 3705, 5843
1055, 371, 3705, 5871
1056, 342, 3705, 5843
1057, 342, 3705, 5871
1058, 371, 3676, 5871
1059, 370, 3705, 5871
1060, 342, 3705, 5871
1061, 371, 3705, 5871
1062, 370, 3705, 5871
1063, 371, 3705, 5900
1064, 371, 3676, 5871
1065, 370, 3677, 5871
