trial,hw_to_kernel,kernel_to_user,total
840, 370, 342, 741
841, 371, 342, 741
842, 370, 342, 741
843, 371, 342, 741
844, 370, 342, 741
845, 371, 342, 741
846, 370, 342, 741
847, 371, 342, 741
848, 370, 342, 769
849, 342, 342, 741
850, 371, 313, 741
851, 370, 342, 741
852, 371, 313, 741
853, 370, 342, 741
854, 342, 342, 741
855, 370, 314, 741
856, 371, 342, 741
857, 370, 342, 741
858, 371, 342, 741
859, 370, 342, 741
860, 371, 342, 741
861, 370, 342, 741
862, 371, 342, 741
863, 370, 342, 741
864, 371, 342, 741
865, 370, 342, 769
866, 342, 342, 741
867, 371, 313, 741
868, 342, 342, 741
869, 371, 313, 741
870, 342, 342, 741
871, 371, 313, 741
872, 370, 342, 741
873, 371, 342, 741
874, 370, 342, 741
875, 371, 342, 741
876, 370, 342, 741
877, 371, 342, 741
878, 370, 342, 741
879, 371, 342, 770
880, 369, 342, 768
881, 370, 314, 741
882, 371, 342, 741
883, 370, 342, 741
884, 371, 342, 741
885, 370, 342, 741
886, 371, 342, 741
887, 370, 342, 741
888, 371, 342, 741
889, 370, 342, 741
890, 371, 342, 741
891, 370, 342, 741
892, 371, 342, 741
893, 370, 342, 769
894, 370, 314, 741
895, 371, 342, 741
896, 370, 342, 741
897, 371, 342, 741
898, 370, 342, 741
899, 371, 342, 741
900, 370, 342, 741
901, 371, 342, 770
902, 369, 342, 740
903, 371, 342, 770
904, 342, 342, 741
905, 370, 342, 741
906, 371, 342, 741
907, 370, 342, 741
908, 371, 342, 741
909, 370, 342, 741
910, 371, 342, 741
911, 370, 342, 769
912, 370, 314, 741
913, 371, 342, 741
914, 370, 342, 741
915, 371, 342, 741
916, 370, 342, 741
917, 371, 342, 741
918, 370, 342, 741
919, 371, 342, 741
920, 370, 342, 769
921, 370, 342, 769
922, 371, 342, 741
923, 370, 342, 741
924, 371, 342, 741
925, 370, 342, 741
926, 371, 342, 741
927, 370, 342, 741
928, 371, 342, 770
929, 371, 313, 741
930, 370, 342, 741
931, 371, 342, 741
932, 370, 342, 741
933, 371, 342, 741
934, 370, 342, 741
935, 371, 342, 741
936, 370, 342, 741
937, 371, 342, 741
938, 370, 342, 741
939, 371, 342, 741
940, 370, 342, 769
941, 370, 314, 741
942, 371, 342, 741
943, 370, 342, 741
944, 371, 342, 741
945, 370, 342, 741
946, 371, 342, 741
947, 370, 342, 741
948, 371, 342, 741
949, 370, 342, 741
950, 371, 342, 741
951, 370, 342, 741
952, 371, 342, 741
953, 370, 342, 741
954, 371, 342, 741
955, 370, 342, 769
956, 342, 342, 741
957, 371, 313, 741
958, 370, 342, 741
959, 371, 342, 741
960, 370, 342, 741
961, 371, 342, 741
962, 370, 342, 741
963, 371, 342, 741
964, 370, 342, 741
965, 399, 342, 769
966, 370, 342, 741
967, 371, 342, 741
968, 370, 342, 741
969, 371, 342, 741
970, 370, 342, 769
971, 370, 342, 769
972, 342, 342, 741
973, 370, 314, 741
974, 371, 342, 741
975, 370, 342, 741
976, 371, 342, 741
977, 370, 342, 741
978, 371, 342, 741
979, 370, 342, 741
980, 371, 342, 741
981, 370, 342, 741
982, 371, 342, 741
983, 370, 342, 741
984, 371, 342, 770
985, 342, 342, 741
986, 370, 314, 741
987, 371, 342, 741
988, 370, 342, 741
989, 371, 342, 741
990, 370, 342, 741
991, 371, 342, 741
992, 370, 342, 741
993, 371, 342, 741
994, 370, 342, 769
995, 370, 314, 741
996, 371, 342, 741
997, 370, 342, 741
998, 371, 342, 741
999, 370, 342, 741
1000, 371, 342, 741
1001, 370, 342, 741
1002, 371, 342, 770
1003, 369, 342, 768
1004, 370, 314, 741
1005, 371, 342, 741
1006, 370, 342, 741
1007, 371, 342, 741
1008, 370, 342, 741
1009, 371, 342, 741
1010, 370, 342, 741
1011, 371, 342, 770
1012, 371, 313, 741
1013, 370, 342, 741
1014, 371, 342, 741
1015, 370, 342, 741
1016, 371, 342, 741
1017, 370, 342, 741
1018, 371, 342, 741
1019, 370, 342, 769
1020, 370, 314, 741
1021, 371, 342, 741
1022, 370, 342, 741
1023, 371, 342, 741
1024, 370, 342, 741
1025, 371, 342, 741
1026, 370, 342, 769
1027, 370, 342, 769
1028, 371, 342, 741
1029, 370, 342, 741
1030, 371, 342, 741
1031, 370, 342, 741
1032, 371, 342, 741
1033, 370, 342, 741
1034, 371, 342, 770
1035, 342, 342, 741
1036, 370, 342, 741
1037, 371, 342, 741
1038, 370, 342, 741
1039, 371, 342, 741
1040, 370, 342, 741
1041, 371, 342, 741
1042, 370, 342, 741
1043, 371, 342, 770
1044, 371, 313, 741
1045, 370, 342, 741
1046, 371, 342, 741
1047, 370, 342, 741
1048, 371, 342, 741
1049, 370, 342, 741
1050, 371, 342, 741
1051, 370, 342, 741
1052, 371, 342, 770
1053, 369, 342, 768
1054, 370, 314, 741
