time, instructions, freed, alive, gc_latency (us)
1910000, 1703275, 2281164, 89822, 1116365
1920000, 1700780, 2076876, 99559, 962164
1930000, 1704487, 2292210, 94401, 1073074
1940000, 1702193, 2075347, 99869, 1046421
1950000, 1687076, 2271125, 95386, 1070372
1960000, 1703006, 2072940, 100036, 963888
1970000, 1703691, 2303423, 90581, 1126529
1980000, 1687573, 2047605, 95004, 949512
1990000, 1712818, 2306573, 95692, 1075376
2000000, 1706246, 2072169, 100369, 1036387
2010000, 1692315, 2273126, 95693, 1069752
2020000, 1704256, 2079775, 100503, 960435
2030000, 1704960, 2289373, 90859, 1126090
2040000, 1693147, 2065484, 100592, 960879
2050000, 1716703, 2276857, 89538, 1062883
2060000, 1699929, 2108254, 95594, 1039543
2070000, 1702814, 2216791, 95558, 1005427
2080000, 1706152, 2147323, 100764, 992359
2090000, 1711779, 2195149, 95687, 1049409
2100000, 1692511, 2168423, 100826, 987319
2110000, 1717054, 2179774, 91176, 994481
2120000, 1700191, 2201318, 100837, 1085250
2130000, 1698839, 2154085, 87637, 991795
2140000, 1703087, 2211165, 95738, 1013560
2150000, 1715123, 2156743, 94155, 1035851
2160000, 1694442, 2208087, 100851, 1009180
2170000, 1714849, 2153464, 94815, 984771
2180000, 1701988, 2226516, 100916, 1087701
2190000, 1700059, 2125980, 95253, 987526
2200000, 1701672, 2233539, 100895, 1005804
2210000, 1723170, 2151802, 90444, 1029907
2220000, 1690197, 2229177, 95745, 1003746
2230000, 1722752, 2131273, 95650, 974470
2240000, 1700512, 2252434, 100867, 1106079
2250000, 1705605, 2104669, 95712, 969750
2260000, 1700071, 2260579, 100857, 1044467
2270000, 1716699, 2109495, 95709, 1016926
2280000, 1689273, 2254321, 100874, 1027449
2290000, 1722658, 2114829, 90595, 966825
2300000, 1698778, 2265587, 95727, 1131705
2310000, 1695253, 2068804, 95702, 952244
2320000, 1706775, 2277716, 100883, 1059245
2330000, 1714387, 2090814, 95698, 997067
2340000, 1695892, 2270480, 100881, 1075815
2350000, 1708873, 2079245, 95700, 965812
2360000, 1701379, 2282085, 100840, 1139602
2370000, 1693953, 2072706, 91335, 954849
2380000, 1709980, 2286388, 95724, 1064938
2390000, 1701649, 2080744, 97334, 1001664
2400000, 1696579, 2260567, 100844, 1063283
2410000, 1703503, 2096219, 97965, 969786
2420000, 1704894, 2262633, 100886, 1148553
2430000, 1683161, 2077989, 98360, 959521
2440000, 1710379, 2265780, 100886, 1053004
2450000, 1699468, 2109029, 93791, 1047105
2460000, 1691836, 2241358, 100798, 1067046
2470000, 1697210, 2095423, 99176, 965726
2480000, 1706372, 2290708, 90112, 1149786
2490000, 1683954, 2052505, 99524, 946804
2500000, 1711653, 2301210, 93878, 1072578
2510000, 1698744, 2069514, 99767, 984916
2520000, 1699692, 2293114, 90225, 1080281
2530000, 1701849, 2070539, 94888, 954152
2540000, 1710795, 2302552, 95706, 1153662
2550000, 1687567, 2046318, 100162, 942790
2560000, 1713366, 2313049, 95698, 1081575
2570000, 1704685, 2067976, 100333, 981220
2580000, 1700773, 2284589, 95699, 1086107
2590000, 1699096, 2071606, 100476, 967931
2600000, 1706362, 2299647, 85019, 1171506
2610000, 1682614, 2047090, 95472, 936875
2620000, 1721645, 2280868, 94113, 1060516
2630000, 1703774, 2105477, 100671, 1007185
2640000, 1708411, 2232730, 95510, 1030061
2650000, 1704147, 2141024, 100780, 967896
2660000, 1722562, 2208509, 95688, 1099100
2670000, 1685257, 2159069, 100798, 987539
2680000, 1720205, 2189589, 85925, 1003167
2690000, 1703240, 2203928, 95707, 1025126
2700000, 1713206, 2161950, 93053, 1003811
2710000, 1701654, 2209705, 100841, 1005684
2720000, 1719421, 2165967, 94337, 1085386
2730000, 1685045, 2195977, 100897, 1004776
2740000, 1720830, 2160637, 94884, 985694
2750000, 1704595, 2230262, 100862, 1038446
2760000, 1709137, 2140801, 90230, 1003843
2770000, 1697798, 2229911, 95745, 994916
2780000, 1726019, 2143115, 95581, 1073824
2790000, 1681803, 2218551, 100901, 1011596
2800000, 1723980, 2137105, 95651, 980884
2810000, 1702727, 2255166, 100846, 1052695
2820000, 1716485, 2116865, 95717, 993215
2830000, 1695945, 2256214, 100853, 1017594
2840000, 1723965, 2121736, 90595, 1066791
2850000, 1676612, 2238454, 95705, 1013980
2860000, 1727627, 2110061, 95712, 977627
2870000, 1700123, 2267033, 100842, 1078589
2880000, 1714613, 2094811, 95698, 981840
2890000, 1698672, 2269414, 100883, 1069030
2900000, 1713242, 2087915, 95703, 1049569
2910000, 1681805, 2254075, 100842, 1047320
2920000, 1720281, 2097321, 90621, 964901
2930000, 1702764, 2284125, 95728, 1096715
2940000, 1697366, 2067027, 96545, 972787
2950000, 1703698, 2277955, 100864, 1066788
2960000, 1709830, 2096600, 97477, 1052061
2970000, 1688259, 2249522, 100883, 1015041
2980000, 1720409, 2118284, 98089, 974554
2990000, 1705058, 2260617, 100844, 1096001
3000000, 1695160, 2100734, 93432, 990360
3010000, 1701310, 2252994, 95679, 1017015
3020000, 1710457, 2113003, 99041, 1071992
3030000, 1685195, 2259337, 83222, 1032079
3040000, 1713019, 2094338, 99380, 953037
3050000, 1712615, 2301810, 93303, 1098247
3060000, 1701322, 2073027, 99728, 968399
3070000, 1708472, 2305329, 90222, 1069466
3080000, 1705412, 2074153, 94893, 1036779
3090000, 1692833, 2277000, 95703, 1066995
3100000, 1707267, 2073266, 100133, 951194
3110000, 1707907, 2306524, 95699, 1114431
3120000, 1697497, 2056546, 100312, 975530
3130000, 1700441, 2287205, 95694, 1073445
3140000, 1702590, 2072498, 100442, 1042063
3150000, 1685721, 2287421, 80443, 1077304
3160000, 1702997, 2057588, 95404, 928247
3170000, 1722015, 2289466, 93421, 1097557
3180000, 1693590, 2082004, 100631, 989468
3190000, 1714840, 2253557, 95381, 1049269
3200000, 1698175, 2119749, 100708, 1045400
3210000, 1705967, 2211606, 95689, 1007577
3220000, 1709871, 2165586, 100761, 1002694
3230000, 1713960, 2187397, 90564, 1029670
3240000, 1692730, 2182673, 95654, 998580
3250000, 1722647, 2178730, 92167, 993371
3260000, 1704107, 2208385, 100808, 1074869
3270000, 1698842, 2144839, 93437, 990489
3280000, 1704073, 2214438, 100848, 995345
3290000, 1724735, 2170173, 94582, 1026718
3300000, 1693475, 2210328, 100860, 1029247
3310000, 1719269, 2159456, 89995, 996228
3320000, 1697329, 2223792, 95741, 1087720
3330000, 1708985, 2127524, 95431, 975019
3340000, 1705257, 2242680, 100874, 1022458
3350000, 1717198, 2133055, 95606, 1013495
3360000, 1698837, 2244262, 100854, 1025835
3370000, 1717987, 2124672, 95671, 987766
3380000, 1698252, 2252331, 100889, 1097539
3390000, 1702843, 2102363, 90595, 971200
3400000, 1699430, 2261483, 95772, 1009406
3410000, 1720592, 2106209, 95714, 1000892
3420000, 1692132, 2256801, 100875, 1052479
3430000, 1717030, 2102496, 95716, 975532
3440000, 1696898, 2262738, 100842, 1132667
3450000, 1695886, 2073224, 95702, 955885
3460000, 1702927, 2273157, 100883, 1059726
3470000, 1713212, 2093671, 90581, 990830
3480000, 1697000, 2271289, 95730, 1087811
3490000, 1707810, 2072334, 95701, 951404
3500000, 1704797, 2285448, 100865, 1156924
3510000, 1690924, 2061157, 96325, 959170
3520000, 1706225, 2283495, 100888, 1067153
3530000, 1703979, 2085696, 97144, 995006
3540000, 1695076, 2261131, 100841, 1076351
3550000, 1705997, 2100603, 92613, 997069
3560000, 1699251, 2258468, 95729, 1116318
3570000, 1692103, 2080393, 98204, 960444
3580000, 1710391, 2267201, 100895, 1066725
3590000, 1697700, 2098935, 98753, 1039764
3600000, 1690232, 2239796, 100797, 1038714
3610000, 1707085, 2111787, 99101, 977173
3620000, 1697656, 2282275, 81256, 1159236
3630000, 1686617, 2056820, 94162, 936247
3640000, 1717228, 2302295, 92823, 1073650
3650000, 1703481, 2076078, 99683, 999663
3660000, 1695760, 2281458, 95019, 1090914
3670000, 1700751, 2069744, 99929, 958006
3680000, 1708490, 2302733, 95657, 1149596
3690000, 1684911, 2043552, 100049, 941311
3700000, 1709918, 2312875, 90582, 1086141
3710000, 1700105, 2061053, 95130, 989913
3720000, 1695566, 2281425, 95699, 1091233
3730000, 1696527, 2058263, 100346, 957220
3740000, 1705164, 2289387, 95694, 1160248
3750000, 1674831, 2038484, 100430, 947166
3760000, 1709079, 2306870, 87959, 1075277
3770000, 1701621, 2063173, 100553, 973934
3780000, 1713119, 2284574, 88620, 1090025
3790000, 1701436, 2095835, 95588, 957931
3800000, 1720545, 2245277, 95507, 1084604
3810000, 1686545, 2115117, 100773, 965831
3820000, 1720878, 2218747, 95688, 1012504
3830000, 1704995, 2171828, 100808, 1016551
3840000, 1709254, 2168250, 95684, 1014669
3850000, 1700270, 2200302, 100838, 996501
3860000, 1720029, 2183166, 87547, 1065954
3870000, 1688914, 2189637, 95721, 976607
3880000, 1727286, 2174189, 93980, 996918
3890000, 1712001, 2228990, 100863, 1028912
3900000, 1713999, 2151552, 94855, 1006472
3910000, 1698894, 2221405, 100858, 1016274
3920000, 1720146, 2150374, 95350, 1045439
3930000, 1684138, 2210618, 100886, 997371
3940000, 1725658, 2154979, 90443, 987858
3950000, 1700139, 2240837, 95742, 1040518
3960000, 1715020, 2120627, 95656, 991211
3970000, 1700659, 2250587, 100857, 1012966
3980000, 1724905, 2128528, 95715, 1034169
3990000, 1683745, 2238262, 100855, 1005715
4000000, 1724314, 2119660, 95717, 983218
4010000, 1694811, 2260200, 100880, 1077928
4020000, 1711048, 2100006, 90597, 995799
4030000, 1693278, 2257912, 95762, 1036793
4040000, 1719779, 2097645, 95703, 1018709
